id,reference,famille,face_matiere,grammage_g_m2,adhesif_type,prix_m2_eur,fournisseur_id,actif,commentaire,epaisseur_microns,est_transparent,opacite_pct,sous_type,certifications_sanitaires,certifications_env
1,BOPP_BLANC_50,bopp,BOPP blanc 50 microns,45.5,permanent,1.4500,1,true,Standard cosmétique,50,false,92.0,bopp_blanc,,
2,BOPP_TRANSPARENT_50,bopp,BOPP transparent 50 microns,45.5,permanent,1.3500,1,true,Effet no-label,50,true,5.0,bopp_transparent,,
3,BOPP_BLANC_70,bopp,BOPP blanc 70 microns,63.7,permanent,1.6000,1,true,,70,false,92.0,bopp_blanc,,
4,BOPP_RENFORCE_60,bopp,BOPP renforcé 60 microns,54.6,permanent,1.7000,1,true,Pour conditions humides,60,false,92.0,bopp_renforce,,
5,PP_BLANC_60,pp,Polypropylène blanc 60µ,54.3,permanent,1.3000,2,true,,60,false,92.0,pp_blanc,,
6,PP_TRANSPARENT_60,pp,Polypropylène transparent 60µ,54.3,permanent,1.2000,2,true,,60,true,5.0,pp_transparent,,
7,PP_BLANC_80,pp,Polypropylène blanc 80µ,72.4,permanent,1.5000,2,true,,80,false,92.0,pp_blanc,,
8,PE_BLANC_70,pe,Polyéthylène blanc 70µ,64.4,permanent,1.2500,3,true,Souple - bouteilles plastique,70,false,92.0,pe_blanc,,
9,PE_TRANSPARENT_70,pe,Polyéthylène transparent 70µ,64.4,permanent,1.2000,3,true,,70,true,5.0,pe_transparent,,
10,PE_BLANC_100,pe,Polyéthylène blanc 100µ,92.0,permanent,1.5500,3,true,,100,false,92.0,pe_blanc,,
11,PVC_BLANC_80,pvc_vinyle,Vinyle PVC blanc 80µ,104.0,permanent,1.9500,3,true,Application extérieure,80,false,92.0,pvc_blanc,,
12,PVC_BLANC_100,pvc_vinyle,Vinyle PVC blanc 100µ,130.0,permanent,2.1500,3,true,,100,false,92.0,pvc_blanc,,
13,PVC_TRANSPARENT_120,pvc_vinyle,Vinyle PVC transparent 120µ,156.0,amovible,2.4000,3,true,Decoupe complexe,120,true,5.0,pvc_transparent,,
14,THERMIQUE_60,thermique,Thermique top-coat 60g,60,permanent,0.6500,4,true,Bas de gamme imprimante directe,,false,95.0,thermique_topcoat,,
15,THERMIQUE_80,thermique,Thermique top-coat 80g,80,permanent,0.7000,4,true,,,false,95.0,thermique_topcoat,,
16,THERMIQUE_TOPCOAT_90,thermique,Thermique premium top-coat 90g,90,permanent,0.8000,4,true,,,false,95.0,thermique_topcoat,,
17,COUCHE_BRILLANT_80,papier_couche,Papier couché brillant 80g,80,permanent,1.0500,1,true,Standard alimentaire,,false,95.0,couche_brillant,,
18,COUCHE_MAT_90,papier_couche,Papier couché mat 90g,90,permanent,1.2000,1,true,Confiturier - benchmark A du PRD,,false,95.0,couche_mat,,
19,COUCHE_BRILLANT_100,papier_couche,Papier couché brillant 100g,100,permanent,1.3000,1,true,,,false,95.0,couche_brillant,,
20,COUCHE_MAT_120,papier_couche,Papier couché mat 120g,120,permanent,1.4500,1,true,Premium vin,,false,95.0,couche_mat,,
21,STD_80,papier_standard,Papier standard 80g,80,permanent,0.8500,2,true,Étiquettes basiques,,false,95.0,standard,,
22,STD_90,papier_standard,Papier standard 90g,90,permanent,0.8800,2,true,,,false,95.0,standard,,
23,STD_100,papier_standard,Papier standard 100g,100,permanent,0.9000,2,true,,,false,95.0,standard,,
24,EPAIS_120,papier_epais,Papier épais 120g,120,permanent,1.1000,2,true,,,false,95.0,epais,,
25,EPAIS_140,papier_epais,Papier épais 140g,140,permanent,1.3000,2,true,,,false,95.0,epais,,
26,EPAIS_160,papier_epais,Papier épais 160g,160,permanent,1.5000,2,true,,,false,95.0,epais,,
27,KRAFT_90,papier_kraft,Papier kraft naturel 90g,90,permanent,1.0000,4,true,Look bio / artisanat,,false,95.0,kraft,,
28,KRAFT_120,papier_kraft,Papier kraft naturel 120g,120,permanent,1.2500,4,true,,,false,95.0,kraft,,
29,VERGE_100,papier_verge,Papier vergé 100g,100,permanent,1.3500,4,true,Premium vin / spiritueux,,false,95.0,verge,,
30,VERGE_120,papier_verge,Papier vergé 120g,120,permanent,1.5000,4,true,,,false,95.0,verge,,
31,VELIN_STANDARD_80,papier_standard,Papier vélin standard 80g,80,permanent,0.3500,2,true,Cas-test médian Lot 3d - matière représentative ~25% production réelle (1 301 dossiers analysés),,false,95.0,velin,,
